"統計名：","都道府県データ 基礎データ"
"表番号：","0000010104"
"表題：","Ｄ　行政基盤"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｄ　行政基盤 コード","D2101","D2102","D2103","D3101","D310101","D310103","D310108","D3102","D3103","D310303","D3103032","D3103033","D310304","D310308","D310311","D310313","D310401","D3105"
"","","","","","","/Ｄ　行政基盤 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｄ　行政基盤","D2101_財政力指数（都道府県財政）【‐】","D2102_実質収支比率（都道府県財政）【％】","D2103_経常収支比率（都道府県財政）【％】","D3101_歳入決算総額（都道府県財政）【千円】","D310101_地方税（都道府県財政）【千円】","D310103_地方交付税（都道府県財政）【千円】","D310108_国庫支出金（都道府県財政）【千円】","D3102_自主財源額（都道府県財政）【千円】","D3103_歳出決算総額（都道府県財政）【千円】","D310303_民生費（都道府県財政）【千円】","D3103032_老人福祉費（都道府県財政）【千円】","D3103033_児童福祉費（都道府県財政）【千円】","D310304_衛生費（都道府県財政）【千円】","D310308_土木費（都道府県財政）【千円】","D310311_教育費（都道府県財政）【千円】","D310313_公債費（都道府県財政）（目的別歳出内訳）【千円】","D310401_人件費（都道府県財政）【千円】","D3105_地方債現在高（都道府県財政）【千円】"
"2017100000","","2017年度","41000","","佐賀県","","0.34776","1.8","93.3","443,259,819","100,802,437","146,544,569","61,169,973","166,297,148","433,789,513","66,525,331","25,167,519","16,070,201","14,159,174","53,980,116","97,438,987","65,888,608","123,081,457","704,014,445"
"2017100000","","2017年度","42000","","長崎県","","0.33564","0.2","97.8","712,952,443","142,807,843","222,369,493","115,247,181","247,076,116","690,746,272","106,226,149","43,055,876","24,170,211","22,504,295","76,569,378","152,496,370","104,957,461","188,688,190","1,243,497,680"
"2017100000","","2017年度","43000","","熊本県","","0.40699","4.7","93.1","977,425,799","201,888,053","217,342,375","203,650,404","395,958,348","942,850,999","165,061,077","55,140,733","30,381,759","34,012,763","90,678,786","133,295,412","113,664,744","172,432,045","1,526,058,436"
"2017100000","","2017年度","44000","","大分県","","0.38297","1.0","93.9","583,695,133","137,654,929","172,534,327","87,590,225","227,302,796","561,387,622","84,575,281","36,849,090","19,161,136","13,824,232","80,276,990","121,857,083","90,057,051","152,464,759","1,030,002,541"
"2017100000","","2017年度","45000","","宮崎県","","0.34331","2.0","92.7","573,922,251","123,635,388","185,064,676","90,872,687","215,336,268","559,444,108","87,320,450","31,280,824","24,979,653","19,358,401","67,056,315","112,403,027","84,150,642","147,775,091","857,334,133"
"2017100000","","2017年度","46000","","鹿児島県","","0.34288","0.7","97.6","805,010,053","180,084,010","270,558,540","154,125,353","253,634,172","786,055,448","134,878,911","55,492,082","30,905,327","28,128,403","86,824,529","183,319,905","127,778,649","225,044,944","1,622,293,585"
"2017100000","","2017年度","47000","","沖縄県","","0.34773","1.0","96.5","735,773,478","147,904,573","209,328,068","214,217,875","239,987,819","723,855,924","122,574,721","31,222,744","35,513,839","26,618,009","102,567,072","166,422,369","74,487,231","193,089,117","636,456,432"
"2022100000","","2022年度","00000","","全国","","0.49378","3.1","93.3","63,735,721,649","23,130,384,534","9,529,809,527","12,670,323,642","34,533,524,666","61,739,543,602","9,283,979,199","3,840,988,777","2,220,614,742","5,968,599,404","6,127,817,475","10,048,887,862","6,794,704,755","12,435,111,460","86,083,622,559"
"2022100000","","2022年度","01000","","北海道","","0.44422","2.0","98.1","3,094,654,845","757,893,739","656,171,677","755,255,550","1,296,057,739","3,058,479,552","417,951,565","179,578,713","71,659,695","317,710,682","334,411,069","420,214,658","379,674,744","550,303,331","5,778,413,965"
"2022100000","","2022年度","02000","","青森県","","0.34201","2.1","94.5","798,600,986","182,088,567","228,480,437","183,892,441","309,909,022","770,615,744","117,855,617","46,947,392","29,685,055","60,789,057","91,833,322","135,701,831","105,971,818","156,559,200","930,738,728"
